address,unit,beds,baths,rent,sqft,avail,pets,parking,built,renovated,num_units,stories,fitness,outdoor
"205 Columbus Ave, New York, NY 10023",-1,1,1.0,2350,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"137 W 69th St, New York, NY 10023",-1,1,1.0,3845,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"39 W 71st St, New York, NY 10023",-1,0,1.0,1750,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"65 W 70th St, New York, NY 10023",-1,4,3.0,6600,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"244 W 72nd St, New York, NY 10023",-1,0,1.0,2200,450,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"45 W 67th St, New York, NY 10023",-1,1,1.0,3600,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"244 W 64th St, New York, NY 10023",-1,2,1.0,2925,800,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"156 Columbus Ave, New York, NY 10023",-1,2,1.0,4500,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"2109 Broadway, New York, NY 10023",-1,1,1.0,3250,-1,0,,,N/A,N/A,N/A,N/A,N/A,N/A
"23 W 69th St, New York, NY 10023",-1,2,2.5,5250,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"23 W 73rd St, New York, NY 10023",-1,2,2.0,7700,1100,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"260 W 72nd St, New York, NY 10023",-1,3,2.0,6300,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"575 West End Ave, New York, NY 10023",-1,3,2.0,9800,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"317 Amsterdam Ave, New York, NY 10023",-1,2,1.0,2995,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"55-75 W 75th St, New York, NY 10023",-1,2,2.0,5700,-1,1,Dogs and Cats Allowed,Garage,N/A,N/A,N/A,N/A,Fitness Center,N/A
"40 W 72nd St, New York, NY 10023",-1,0,2.0,20000,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"229 W 60th St, New York, NY 10023",-1,1,1.0,4999,-1,1,,,N/A,N/A,N/A,N/A,N/A,N/A
"25 Central Park West, New York, NY 10023",-1,1,1.0,7000,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"17 W 67th St, New York, NY 10023",-1,1,1.0,4000,-1,1,No Pets Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"243 W 60th St, New York, NY 10023",-1,3,2.5,10900,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"140 W 71st St, New York, NY 10023",-1,1,1.0,3300,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"62 W 62nd St, New York, NY 10023",-1,1,1.0,3600,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,Courtyard
"105 W 74th St, New York, NY 10023",-1,1,1.0,3100,-1,1,Dogs and Cats Allowed,,N/A,N/A,N/A,N/A,N/A,N/A
"200 W 60th St, New York, NY 10023",-1,0,1.0,2750,-1,1,,Garage,N/A,N/A,N/A,N/A,Fitness Center,N/A
